No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
401,MSIN,MNC Studios International Tbk.,08 Jun 2018,5.202.000.000,PENGEMBANGAN
402,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,1.813.064.073,UTAMA
403,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,2.455.376.917,UTAMA
404,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,31.842.082.852,PENGEMBANGAN
405,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,UTAMA
406,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,PENGEMBANGAN
407,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,PENGEMBANGAN
408,MTWI,Malacca Trust Wuwungan Insuran,11 Okt 2017,1.525.819.116,PENGEMBANGAN
409,MYOH,Samindo Resources Tbk.,27 Jul 2000,2.206.312.500,UTAMA
410,MYOR,Mayora Indah Tbk.,04 Jul 1990,22.358.699.725,UTAMA
411,MYRX,Hanson International Tbk.,31 Okt 1990,86.703.220.792,PENGEMBANGAN
412,MYTX,Asia Pacific Investama Tbk.,10 Okt 1989,1.466.666.577,UTAMA
413,NAGA,Bank Mitraniaga Tbk.,09 Jul 2013,1.612.710.000,UTAMA
414,NASA,Ayana Land International Tbk.,07 Ags 2017,11.004.915.642,PENGEMBANGAN
415,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,PENGEMBANGAN
416,NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,PENGEMBANGAN
417,NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,PENGEMBANGAN
418,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,UTAMA
419,NIPS,Nipress Tbk.,24 Jul 1991,1.635.333.332,PENGEMBANGAN
420,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,PENGEMBANGAN
421,NISP,Bank OCBC NISP Tbk.,20 Okt 1994,22.715.776.032,UTAMA
422,NOBU,Bank Nationalnobu Tbk.,20 Mei 2013,4.393.533.177,UTAMA
423,NRCA,Nusa Raya Cipta Tbk.,27 Jun 2013,2.496.258.344,UTAMA
424,NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.000,PENGEMBANGAN
425,OASA,Protech Mitra Perkasa Tbk.,18 Jul 2016,358.600.000,PENGEMBANGAN
426,OCAP,Onix Capital Tbk.,10 Nov 2003,273.200.000,PENGEMBANGAN
427,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,1.765.927.777,PENGEMBANGAN
428,OMRE,Indonesia Prima Property Tbk,22 Ags 1994,1.745.000.000,PENGEMBANGAN
429,PADI,Minna Padi Investama Sekuritas,09 Jan 2012,11.307.246.524,UTAMA
430,PALM,Provident Agro Tbk.,08 Okt 2012,7.119.540.356,PENGEMBANGAN
431,PANI,Pratama Abadi Nusa Industri Tb,18 Sep 2018,410.000.000,PENGEMBANGAN
432,PANR,Panorama Sentrawisata Tbk.,01 Jan 1950,1.200.000.000,UTAMA
433,PANS,Panin Sekuritas Tbk.,31 Des 2000,720.000.000,UTAMA
434,PBID,Panca Budi Idaman Tbk.,13 Des 2017,1.875.000.000,PENGEMBANGAN
435,PBRX,Pan Brothers Tbk.,16 Ags 1990,6.478.295.611,UTAMA
436,PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,1.500.000.000,UTAMA
437,PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1.166.666.700,PENGEMBANGAN
438,PDES,Destinasi Tirta Nusantara Tbk,08 Jul 2008,715.000.000,PENGEMBANGAN
439,PEGE,Panca Global Kapital Tbk.,24 Jun 2005,2.833.417.056,PENGEMBANGAN
440,PGAS,Perusahaan Gas Negara (Persero,15 Des 2003,24.241.508.196,UTAMA
441,PGLI,Pembangunan Graha Lestari Inda,05 Apr 2000,488.000.000,PENGEMBANGAN
442,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,PENGEMBANGAN
443,PJAA,Pembangunan Jaya Ancol Tbk.,02 Jul 2004,1.599.999.996,UTAMA
444,PKPK,Perdana Karya Perkasa Tbk,11 Jul 2007,600.000.000,PENGEMBANGAN
445,PLAS,Polaris Investama Tbk,16 Mar 2001,1.184.200.000,PENGEMBANGAN
446,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,UTAMA
447,PNBN,Bank Pan Indonesia Tbk,29 Des 1982,23.837.645.998,UTAMA
448,PNBS,Bank Panin Dubai Syariah Tbk.,15 Jan 2014,23.719.447.472,UTAMA
449,PNIN,Paninvest Tbk.,20 Sep 1983,4.068.323.920,UTAMA
450,PNLF,Panin Financial Tbk.,14 Jun 1993,32.022.073.293,UTAMA
451,PNSE,Pudjiadi & Sons Tbk.,01 Mei 1990,797.813.496,PENGEMBANGAN
452,POLA,Pool Advista Finance Tbk.,16 Nov 2018,2.722.910.000,PENGEMBANGAN
453,POLL,Pollux Properti Indonesia Tbk.,11 Jul 2018,8.318.823.600,UTAMA
454,POLY,Asia Pacific Fibers Tbk,12 Mar 1991,2.495.753.334,PENGEMBANGAN
