No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
455,POOL,Pool Advista Indonesia Tbk.,20 Mei 1991,2.250.171.149,PENGEMBANGAN
456,PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,PENGEMBANGAN
457,POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,UTAMA
458,PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,UTAMA
459,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,UTAMA
460,PRAS,Prima Alloy Steel Universal Tb,12 Jul 1990,701.043.478,UTAMA
461,PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937.500.000,PENGEMBANGAN
462,PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.432.600,PENGEMBANGAN
463,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,PENGEMBANGAN
464,PSDN,Prasidha Aneka Niaga Tbk,18 Okt 1994,1.440.000.000,PENGEMBANGAN
465,PSKT,Red Planet Indonesia Tbk.,19 Sep 1995,10.351.231.636,PENGEMBANGAN
466,PSSI,Pelita Samudera Shipping Tbk.,05 Des 2017,5.030.000.000,PENGEMBANGAN
467,PTBA,Bukit Asam Tbk.,23 Des 2002,11.520.659.250,UTAMA
468,PTIS,Indo Straits Tbk.,12 Jul 2011,550.165.300,UTAMA
469,PTPP,PP (Persero) Tbk.,09 Feb 2010,6.199.897.354,UTAMA
470,PTRO,Petrosea Tbk.,21 Mei 1990,1.008.605.000,UTAMA
471,PTSN,Sat Nusapersada Tbk,08 Nov 2007,1.771.448.000,UTAMA
472,PTSP,Pioneerindo Gourmet Internatio,30 Mei 1994,220.808.000,PENGEMBANGAN
473,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,329.560.000,UTAMA
474,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,UTAMA
475,PYFA,Pyridam Farma Tbk,16 Okt 2001,535.080.000,PENGEMBANGAN
476,PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,UTAMA
477,RAJA,Rukun Raharja Tbk.,19 Apr 2006,4.227.082.500,UTAMA
478,RALS,Ramayana Lestari Sentosa Tbk.,24 Jul 1996,7.096.000.000,UTAMA
479,RANC,Supra Boga Lestari Tbk.,07 Jun 2012,1.564.487.500,UTAMA
480,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,UTAMA
481,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,UTAMA
482,RELI,Reliance Sekuritas Indonesia T,13 Jul 2005,1.800.000.000,UTAMA
483,RICY,Ricky Putra Globalindo Tbk,22 Jan 1998,641.717.510,UTAMA
484,RIGS,Rig Tenders Indonesia Tbk.,26 Mar 1990,609.130.000,PENGEMBANGAN
485,RIMO,Rimo International Lestari Tbk,10 Nov 2000,40.936.000.000,PENGEMBANGAN
486,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,9.950.000.000,UTAMA
487,RMBA,Bentoel Internasional Investam,05 Mar 1990,36.401.136.250,UTAMA
488,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,PENGEMBANGAN
489,ROTI,Nippon Indosari Corpindo Tbk.,28 Jun 2010,6.186.488.888,UTAMA
490,RUIS,Radiant Utama Interinsco Tbk.,12 Jul 2006,770.000.000,PENGEMBANGAN
491,SAFE,Steady Safe Tbk,15 Ags 1994,615.145.012,PENGEMBANGAN
492,SAME,Sarana Meditama Metropolitan T,11 Jan 2013,5.900.000.000,PENGEMBANGAN
493,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,PENGEMBANGAN
494,SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.250.000.000,PENGEMBANGAN
495,SCBD,Danayasa Arthatama Tbk.,31 Des 2099,3.322.092.000,PENGEMBANGAN
496,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,205.583.400,UTAMA
497,SCMA,Surya Citra Media Tbk.,16 Jul 2002,14.621.601.234,UTAMA
498,SCPI,Merck Sharp Dohme Pharma Tbk.,08 Jun 1990,3.600.000,PENGEMBANGAN
499,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,1.135.225.000,PENGEMBANGAN
500,SDPC,Millennium Pharmacon Internati,07 Mei 1990,1.274.000.000,UTAMA
