No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
101,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,46.199.999.998,UTAMA
102,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,1.159.200.024,UTAMA
103,BMTR,Global Mediacom Tbk.,17 Jul 1995,14.198.621.422,UTAMA
104,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,2.286.900.000,PENGEMBANGAN
105,BNBR,Bakrie & Brothers Tbk,28 Ags 1989,20.771.977.000,PENGEMBANGAN
106,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,24.880.290.775,UTAMA
107,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,75.357.433.911,UTAMA
108,BNLI,Bank Permata Tbk.,15 Jan 1990,27.762.311.813,UTAMA
109,BOGA,Bintang Oto Global Tbk.,19 Des 2016,3.803.247.640,PENGEMBANGAN
110,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,2.343.750.000,PENGEMBANGAN
111,BORN,Borneo Lumbung Energi & Metal ,26 Nov 2010,17.693.000.000,PENGEMBANGAN
112,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,1.400.000.000,PENGEMBANGAN
113,BPFI,Batavia Prosperindo Finance Tb,01 Jun 2009,1.782.663.575,PENGEMBANGAN
114,BPII,Batavia Prosperindo Internasio,08 Jul 2014,514.010.900,PENGEMBANGAN
115,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,1.550.000.000,UTAMA
116,BRAM,Indo Kordsa Tbk.,05 Sep 1990,450.000.000,UTAMA
117,BRIS,Bank BRIsyariah Tbk.,01 Jan 1911,9.618.952.363,UTAMA
118,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,62.322.456.902,PENGEMBANGAN
119,BRNA,Berlina Tbk.,06 Nov 1989,979.110.000,PENGEMBANGAN
120,BRPT,Barito Pacific Tbk.,01 Okt 1993,17.791.586.878,UTAMA
121,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,19.246.696.192,UTAMA
122,BSIM,Bank Sinarmas Tbk.,13 Des 2010,15.183.894.926,UTAMA
123,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,2.616.500.000,PENGEMBANGAN
124,BSWD,Bank Of India Indonesia Tbk.,01 Mei 2002,1.374.912.000,PENGEMBANGAN
125,BTEK,Bumi Teknokultura Unggul Tbk,14 Mei 2004,46.277.496.376,PENGEMBANGAN
126,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,36.773.904.635,UTAMA
127,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,720.000.000,PENGEMBANGAN
