No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
21,AKSI,Majapahit Inti Corpora Tbk.,13 Jul 2001,720.000.000,PENGEMBANGAN
22,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,550.000.000,PENGEMBANGAN
23,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,PENGEMBANGAN
24,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,616.000.000,PENGEMBANGAN
25,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,UTAMA
26,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,PENGEMBANGAN
27,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,UTAMA
28,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,PENGEMBANGAN
29,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,UTAMA
30,ANDI,Andira Agro Tbk.,16 Ags 2018,1.870.000.000,PENGEMBANGAN
31,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,UTAMA
32,ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,UTAMA
33,APEX,Apexindo Pratama Duta Tbk.,10 Jul 2002,2.659.850.000,UTAMA
34,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.765.966.447,PENGEMBANGAN
35,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,PENGEMBANGAN
36,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,UTAMA
37,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,19.364.561.700,UTAMA
38,APOL,Arpeni Pratama Ocean Line Tbk.,22 Jun 2005,8.670.479.000,UTAMA
39,ARGO,Argo Pantes Tbk,07 Jan 1991,335.557.450,PENGEMBANGAN
40,ARII,Atlas Resources Tbk.,08 Nov 2011,3.000.000.000,PENGEMBANGAN
41,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,8.187.500.000,PENGEMBANGAN
42,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,UTAMA
43,ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,PENGEMBANGAN
44,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,UTAMA
45,ARTO,Bank Artos Indonesia Tbk.,12 Jan 2016,1.194.187.500,PENGEMBANGAN
46,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,PENGEMBANGAN
47,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,192.000.000,PENGEMBANGAN
48,ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,UTAMA
49,ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,UTAMA
50,ASJT,Asuransi Jasa Tania Tbk.,29 Des 2003,600.000.000,PENGEMBANGAN
51,ASMI,Asuransi Kresna Mitra Tbk.,16 Jan 2014,8.958.380.460,PENGEMBANGAN
52,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,UTAMA
53,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,214.559.422,PENGEMBANGAN
54,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.397.500.000,UTAMA
55,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,1.875.010.000,UTAMA
56,ATPK,Bara Jaya Internasional Tbk.,17 Apr 2002,5.760.245.414,PENGEMBANGAN
57,AUTO,Astra Otoparts Tbk.,15 Jun 1998,4.819.733.000,UTAMA
58,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,21.567.203.082,PENGEMBANGAN
59,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,6.999.757.684,PENGEMBANGAN
60,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,PENGEMBANGAN
61,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.664.476.700,PENGEMBANGAN
62,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,UTAMA
63,BATA,Sepatu Bata Tbk.,24 Mar 1982,1.300.000.000,UTAMA
64,BAYU,Bayu Buana Tbk,30 Okt 1989,353.220.780,PENGEMBANGAN
65,BBCA,Bank Central Asia Tbk.,31 Mei 2000,24.408.459.120,UTAMA
66,BBHI,Bank Harda Internasional Tbk.,12 Ags 2015,4.142.587.477,PENGEMBANGAN
67,BBKP,Bank Bukopin Tbk.,10 Jul 2006,11.535.389.661,UTAMA
68,BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,PENGEMBANGAN
69,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,UTAMA
70,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,18.462.169.893,UTAMA
71,BBNP,Bank Nusantara Parahyangan Tbk,10 Jan 2001,791.895.641,UTAMA
72,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,122.112.351.900,UTAMA
73,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,5.367.076.248,UTAMA
74,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,10.484.100.000,UTAMA
75,BBYB,Bank Yudha Bhakti Tbk.,13 Jan 2015,5.148.129.999,UTAMA
76,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,38.531.387.216,UTAMA
77,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,9.912.003.256,PENGEMBANGAN
78,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1.429.915.525,PENGEMBANGAN
79,BDMN,Bank Danamon Indonesia Tbk.,06 Des 1989,9.488.796.931,UTAMA
80,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,63.468.336.053,PENGEMBANGAN
81,BELL,Trisula Textile Industries Tbk,03 Okt 2017,1.450.000.000,PENGEMBANGAN
82,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,9.647.311.150,UTAMA
83,BFIN,BFI Finance  Indonesia Tbk.,16 Mei 1990,15.967.115.620,PENGEMBANGAN
84,BGTG,Bank Ganesha Tbk.,12 Mei 2016,11.063.309.400,PENGEMBANGAN
85,BHIT,MNC Investama Tbk.,24 Nov 1997,51.939.135.584,UTAMA
86,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,592.280.000,PENGEMBANGAN
87,BIMA,Primarindo Asia Infrastructure,30 Ags 1994,608.175.716,PENGEMBANGAN
88,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,5.597.831.250,PENGEMBANGAN
89,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,40.158.987.014,PENGEMBANGAN
90,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5.028.669.338,PENGEMBANGAN
91,BIRD,Blue Bird Tbk.,05 Nov 2014,2.502.100.000,UTAMA
92,BISI,BISI International Tbk.,28 Mei 2007,3.000.000.000,UTAMA
93,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,9.599.328.254,UTAMA
94,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,14.828.353.632,UTAMA
95,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,6.830.992.252,PENGEMBANGAN
96,BKSL,Sentul City Tbk.,28 Jul 1997,55.258.659.323,UTAMA
97,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,20.232.319.124,PENGEMBANGAN
98,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,23.483.317.538,UTAMA
99,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,873.937.142,PENGEMBANGAN
100,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,4.399.026.922,PENGEMBANGAN
