No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
501,SDRA,Bank Woori Saudara Indonesia 1,15 Des 2006,6.515.116.991,UTAMA
502,SGRO,Sampoerna Agro Tbk.,18 Jun 2007,1.890.000.000,UTAMA
503,SHID,Hotel Sahid Jaya International,08 Mei 1990,1.119.326.168,PENGEMBANGAN
504,SHIP,Sillo Maritime Perdana Tbk.,16 Jun 2016,2.719.790.000,PENGEMBANGAN
505,SIAP,Sekawan Intipratama Tbk,17 Okt 2008,24.000.000.000,PENGEMBANGAN
506,SIDO,Industri Jamu dan Farmasi Sido,18 Des 2013,15.000.000.000,UTAMA
507,SILO,Siloam International Hospitals,12 Sep 2013,1.625.765.625,UTAMA
508,SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,PENGEMBANGAN
509,SIMP,Salim Ivomas Pratama Tbk.,09 Jun 2011,15.816.310.000,UTAMA
510,SIPD,Sierad Produce Tbk.,27 Des 1996,1.339.102.579,PENGEMBANGAN
511,SKBM,Sekar Bumi Tbk.,05 Jan 1993,1.726.003.217,PENGEMBANGAN
512,SKLT,Sekar Laut Tbk.,08 Sep 1993,690.740.500,PENGEMBANGAN
513,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,1.500.000.000,PENGEMBANGAN
514,SKYB,Skybee Tbk.,07 Jul 2010,585.000.000,PENGEMBANGAN
515,SMAR,Smart Tbk.,20 Nov 1992,2.872.193.366,PENGEMBANGAN
516,SMBR,Semen Baturaja (Persero) Tbk.,28 Jun 2013,9.932.534.336,UTAMA
517,SMCB,Holcim Indonesia Tbk.,10 Ags 1997,7.662.900.000,UTAMA
518,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,PENGEMBANGAN
519,SMDR,Samudera Indonesia  Tbk.,05 Des 1999,3.275.120.000,UTAMA
520,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,5.931.520.000,UTAMA
521,SMMA,Sinarmas Multiartha Tbk.,05 Jul 1995,6.367.664.717,UTAMA
522,SMMT,Golden Eagle Energy Tbk.,01 Des 2007,3.150.000.000,PENGEMBANGAN
523,SMRA,Summarecon Agung Tbk.,07 Mei 1990,14.426.781.680,UTAMA
524,SMRU,SMR Utama Tbk.,10 Okt 2011,12.499.385.782,PENGEMBANGAN
525,SMSM,Selamat Sempurna Tbk.,09 Sep 1996,5.758.675.440,UTAMA
526,SOCI,Soechi Lines Tbk.,03 Des 2014,7.059.000.000,UTAMA
527,SONA,Sona Topas Tourism Industry Tb,12 Jul 1992,331.200.000,PENGEMBANGAN
528,SOSS,Shield On Service Tbk.,06 Nov 2018,650.000.000,PENGEMBANGAN
529,SOTS,Satria Mega Kencana Tbk.,10 Des 2018,1.000.000.000,PENGEMBANGAN
530,SPMA,Suparma Tbk.,16 Nov 1994,2.114.570.958,UTAMA
531,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,PENGEMBANGAN
532,SQMI,Renuka Coalindo Tbk.,15 Jul 2004,301.200.000,PENGEMBANGAN
533,SRAJ,Sejahteraraya Anugrahjaya Tbk.,11 Apr 2011,12.000.705.445,UTAMA
534,SRIL,Sri Rejeki Isman Tbk.,17 Jun 2013,20.452.176.844,UTAMA
535,SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,UTAMA
536,SRTG,Saratoga Investama Sedaya Tbk.,26 Jun 2013,2.712.967.000,PENGEMBANGAN
537,SSIA,Surya Semesta Internusa Tbk.,27 Mar 1997,4.705.249.440,UTAMA
