No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
201,ESSA,Surya Esa Perkasa Tbk.,01 Feb 2012,14.300.000.000,UTAMA
202,ESTI,Ever Shine Tex Tbk.,13 Okt 1992,2.015.208.720,UTAMA
203,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,968.297.000,UTAMA
204,EXCL,XL Axiata Tbk.,29 Sep 2005,10.687.960.423,UTAMA
205,FAST,Fast Food Indonesia Tbk.,11 Mei 1993,1.995.138.579,PENGEMBANGAN
206,FASW,Fajar Surya Wisesa Tbk.,01 Des 1994,2.477.888.787,UTAMA
207,FILM,MD Pictures Tbk.,07 Ags 2018,9.511.217.000,UTAMA
208,FINN,First Indo American Leasing Tb,08 Jun 2017,1.860.225.000,PENGEMBANGAN
209,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,1.408.608.780,PENGEMBANGAN
210,FISH,FKS Multi Agro Tbk.,18 Jan 2002,480.000.000,PENGEMBANGAN
211,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,2.721.000.000,PENGEMBANGAN
212,FORU,Fortune Indonesia Tbk,17 Jan 2004,465.224.000,PENGEMBANGAN
213,FORZ,Forza Land Indonesia Tbk.,28 Apr 2017,1.972.896.387,UTAMA
214,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,5.566.414.000,PENGEMBANGAN
215,FREN,Smartfren Telecom Tbk.,29 Nov 2006,171.114.685.667,UTAMA
216,GAMA,Gading Development Tbk.,11 Jul 2012,10.011.027.656,UTAMA
217,GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,9.242.500.000,PENGEMBANGAN
218,GDYR,Goodyear Indonesia Tbk.,01 Des 1980,410.000.000,UTAMA
219,GEMA,Gema Grahasarana Tbk.,12 Ags 2002,1.600.000.000,PENGEMBANGAN
220,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,5.882.353.000,UTAMA
221,GGRM,Gudang Garam Tbk.,27 Ags 1990,1.924.088.000,UTAMA
222,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,550.000.000,UTAMA
223,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,25.886.576.254,UTAMA
224,GJTL,Gajah Tunggal Tbk.,08 Mei 1990,3.484.800.000,UTAMA
225,GLOB,Global Teleshop Tbk.,10 Jul 2012,1.111.112.000,PENGEMBANGAN
226,GMCW,Grahamas Citrawisata Tbk.,14 Feb 1995,58.839.958,PENGEMBANGAN
227,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,28.233.511.500,UTAMA
228,GMTD,Gowa Makassar Tourism Developm,11 Des 2000,101.538.000,PENGEMBANGAN
229,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,314.600.000,PENGEMBANGAN
230,GOLL,Golden Plantation Tbk.,23 Des 2014,3.665.000.759,PENGEMBANGAN
231,GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,7.379.580.291,UTAMA
232,GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,4.276.655.336,UTAMA
233,GREN,Evergreen Invesco Tbk.,09 Jul 2010,4.694.111.791,UTAMA
234,GSMF,Equity Development Investment ,13 Okt 1989,7.454.723.337,PENGEMBANGAN
235,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,2.500.000.000,PENGEMBANGAN
236,GWSA,Greenwood Sejahtera Tbk.,23 Des 2011,7.800.760.000,UTAMA
237,GZCO,Gozco Plantations Tbk.,15 Mei 2008,6.000.000.000,UTAMA
238,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,2.120.000.000,PENGEMBANGAN
239,HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,2.329.668.917,UTAMA
240,HDTX,Panasia Indo Resources Tbk.,06 Jun 1990,3.601.462.800,UTAMA
241,HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,2.973.000.000,UTAMA
242,HELI,Jaya Trishindo Tbk.,27 Mar 2018,819.000.000,PENGEMBANGAN
243,HERO,Hero Supermarket Tbk.,02 Des 1989,4.183.634.000,UTAMA
244,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,840.000.000,UTAMA
245,HITS,Humpuss Intermoda Transportasi,15 Des 1997,7.101.084.801,UTAMA
246,HKMU,HK Metals Utama Tbk.,09 Okt 2018,3.221.750.000,UTAMA
247,HMSP,H.M. Sampoerna Tbk.,15 Ags 1990,116.318.076.900,UTAMA
248,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,2.374.834.620,UTAMA
249,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,2.266.550.488,PENGEMBANGAN
250,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,3.550.001.452,UTAMA
251,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,4.605.262.400,PENGEMBANGAN
