No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
252,HRUM,Harum Energy Tbk.,06 Okt 2010,2.703.620.000,UTAMA
253,IATA,Indonesia Transport & Infrastr,13 Sep 2006,9.979.518.088,PENGEMBANGAN
254,IBFN,Intan Baruprana Finance Tbk.,22 Des 2014,1.517.321.249,PENGEMBANGAN
255,IBST,Inti Bangun Sejahtera Tbk.,31 Ags 2012,1.350.904.927,UTAMA
256,ICBP,Indofood CBP Sukses Makmur Tbk,07 Okt 2010,11.661.908.000,UTAMA
257,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,1.089.750.000,PENGEMBANGAN
258,IDPR,Indonesia Pondasi Raya Tbk.,10 Des 2015,2.003.000.000,UTAMA
259,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,972.204.500,UTAMA
260,IIKP,Inti Agri Resources Tbk,20 Okt 2002,33.600.000.000,PENGEMBANGAN
261,IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,10.137.508.642,UTAMA
262,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,1.224.000.000,PENGEMBANGAN
263,IMAS,Indomobil Sukses Internasional,15 Sep 1993,2.765.278.412,UTAMA
264,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,5.017.000.000,UTAMA
265,IMPC,Impack Pratama Industri Tbk.,17 Des 2014,4.833.500.000,PENGEMBANGAN
266,INAF,Indofarma Tbk.,17 Apr 2001,3.099.267.500,UTAMA
267,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633.600.000,PENGEMBANGAN
268,INCF,Indo Komoditi Korpora Tbk.,18 Des 1989,1.438.370.465,PENGEMBANGAN
269,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,196.121.237,UTAMA
270,INCO,Vale Indonesia Tbk.,16 Mei 1990,9.936.338.720,UTAMA
271,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,8.780.426.500,UTAMA
272,INDR,Indo-Rama Synthetics Tbk.,03 Ags 1990,654.351.707,UTAMA
273,INDS,Indospring Tbk.,10 Ags 1990,656.249.710,UTAMA
274,INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,PENGEMBANGAN
275,INDY,Indika Energy Tbk.,11 Jun 2008,5.210.192.000,UTAMA
276,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,5.470.982.941,UTAMA
277,INPC,Bank Artha Graha Internasional,29 Ags 1990,15.638.233.101,UTAMA
278,INPP,Indonesian Paradise Property T,01 Des 2004,11.181.971.732,PENGEMBANGAN
279,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,650.000.000,PENGEMBANGAN
280,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,1.388.883.283,PENGEMBANGAN
281,INTA,Intraco Penta Tbk.,23 Ags 1993,3.334.634.447,PENGEMBANGAN
282,INTD,Inter Delta Tbk,18 Des 1989,591.828.000,PENGEMBANGAN
283,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3.681.231.699,UTAMA
284,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,PENGEMBANGAN
285,IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,PENGEMBANGAN
286,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,6.443.379.509,UTAMA
287,ISAT,Indosat Tbk.,19 Okt 1994,5.433.933.500,UTAMA
288,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,7.185.992.035,UTAMA
289,ITMA,Sumber Energi Andalan Tbk.,10 Des 1990,680.000.000,PENGEMBANGAN
290,ITMG,Indo Tambangraya Megah Tbk.,18 Des 2007,1.129.925.000,UTAMA
291,ITTG,Leo Investments Tbk.,26 Nov 2001,1.379.000.000,PENGEMBANGAN
292,JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,3.774.685.500,UTAMA
293,JECC,Jembo Cable Company Tbk.,18 Nov 1992,151.200.000,PENGEMBANGAN
294,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,22.581.909.405,PENGEMBANGAN
295,JIHD,Jakarta International Hotels &,29 Feb 1984,2.329.040.482,PENGEMBANGAN
296,JKON,Jaya Konstruksi Manggala Prata,04 Des 2007,16.308.519.860,UTAMA
297,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Ags 1997,150.000.000,PENGEMBANGAN
298,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,PENGEMBANGAN
299,JPFA,Japfa Comfeed Indonesia Tbk.,23 Okt 1989,11.726.575.201,UTAMA
300,JRPT,Jaya Real Property Tbk.,29 Jun 1994,13.750.000.000,UTAMA
