No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
367,MDIA,Intermedia Capital Tbk.,11 Apr 2014,39.215.538.400,UTAMA
368,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,4.164.518.330,PENGEMBANGAN
369,MDKI,Emdeki Utama Tbk.,25 Sep 2017,1.807.250.000,PENGEMBANGAN
370,MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,UTAMA
371,MDRN,Modern Internasional Tbk.,16 Jul 1991,5.032.167.798,UTAMA
372,MEDC,Medco Energi Internasional Tbk,12 Okt 1994,17.829.188.368,UTAMA
373,MEGA,Bank Mega Tbk.,17 Apr 2000,6.894.138.227,UTAMA
374,MERK,Merck Tbk.,23 Jul 1981,448.000.000,PENGEMBANGAN
375,META,Nusantara Infrastructure Tbk.,18 Jul 2001,15.235.671.880,UTAMA
376,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,2.650.000.000,PENGEMBANGAN
377,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,PENGEMBANGAN
378,MGNA,Magna Investama Mandiri Tbk.,07 Jul 2014,1.003.080.977,PENGEMBANGAN
379,MGRO,Mahkota Group Tbk.,12 Jul 2018,3.518.438.000,UTAMA
380,MICE,Multi Indocitra Tbk.,02 Nov 2005,600.000.000,PENGEMBANGAN
381,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,2.882.353.000,PENGEMBANGAN
382,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,14.550.736.000,UTAMA
383,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,6.562.500.000,PENGEMBANGAN
384,MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,PENGEMBANGAN
385,MITI,Mitra Investindo Tbk.,16 Jul 1997,1.411.550.800,PENGEMBANGAN
386,MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.000.000.000,PENGEMBANGAN
387,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,PENGEMBANGAN
388,MLBI,Multi Bintang Indonesia Tbk.,17 Jan 1994,2.107.000.000,UTAMA
389,MLIA,Mulia Industrindo Tbk,17 Jan 1994,1.323.000.000,PENGEMBANGAN
390,MLPL,Multipolar Tbk.,06 Nov 1989,14.639.632.470,UTAMA
391,MLPT,Multipolar Technology Tbk.,08 Jul 2013,1.875.000.000,UTAMA
392,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,PENGEMBANGAN
393,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,14.276.103.500,UTAMA
394,MOLI,Madusari Murni Indah Tbk.,30 Ags 2018,2.334.888.498,PENGEMBANGAN
395,MPMX,Mitra Pinasthika Mustika Tbk.,29 Mei 2013,4.462.963.276,UTAMA
396,MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,PENGEMBANGAN
397,MPPA,Matahari Putra Prima Tbk.,21 Des 1992,7.529.147.920,UTAMA
398,MPRO,Propertindo Mulia Investama Tb,09 Okt 2018,9.942.500.000,PENGEMBANGAN
399,MRAT,Mustika Ratu Tbk.,27 Jul 1995,428.000.000,UTAMA
400,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,517.791.681,PENGEMBANGAN
